"SRC_SYSTEM","SCENARIO","BUSINESS_DT","DT","PLANT_PRODUCT_ID","BP","PLAN","PPR","FORECAST","FACT"
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-18,[MENGE_13_1-_01-M],2145.31300,1979.73600,1979.73300,,1616.27100
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-19,[MENGE_13_1-_01-M],1977.81900,1825.16900,1825.16600,,1785.08700
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-20,[MENGE_13_1-_01-M],2087.62200,1926.49800,1926.49500,,1716.41100
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-21,[MENGE_13_1-_01-M],2056.55800,1897.83100,1897.82800,,1734.88300
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-22,[MENGE_13_1-_01-M],2046.87400,1888.89400,1888.89200,,1752.48800
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-23,[MENGE_13_1-_01-M],2037.20000,1879.96700,1879.96500,,1614.16300
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-24,[MENGE_13_1-_01-M],2039.88200,1882.44200,1882.44500,,1606.00000
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-25,[MENGE_13_1-_01-M],1739.70300,1605.43100,1605.43400,,1735.17500
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-26,[MENGE_13_1-_01-M],2039.88200,1882.44200,1882.44500,,1643.73500
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-27,[MENGE_13_1-_01-M],2165.98000,1998.80700,1998.81000,1917.32100,
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-28,[MENGE_13_1-_01-M],2165.98000,1998.80700,1998.81000,1917.32100,
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-29,[MENGE_13_1-_01-M],2165.98000,1998.80700,1998.81000,1917.32100,
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-30,[MENGE_13_1-_01-M],2165.98000,1998.80700,1998.81000,1917.32100,
